Date,Close/Last,Volume,Open,High,Low
10/13/2023,$251.12,102296800,$258.90,$259.60,$250.22
10/12/2023,$258.87,111508100,$262.92,$265.41,$256.6307
10/11/2023,$262.99,103706300,$266.20,$268.60,$260.90
10/10/2023,$263.62,122656000,$257.75,$268.94,$257.65
10/09/2023,$259.67,101377900,$255.31,$261.36,$252.05
10/06/2023,$260.53,118121800,$253.98,$261.65,$250.65
10/05/2023,$260.05,119159200,$260.00,$263.60,$256.25
10/04/2023,$261.16,129721600,$248.14,$261.86,$247.60
10/03/2023,$246.53,101985300,$248.61,$250.02,$244.45
10/02/2023,$251.60,123810400,$244.81,$254.2799,$242.62
09/29/2023,$250.22,128522700,$250.00,$254.77,$246.35
09/28/2023,$246.38,117058900,$240.02,$247.55,$238.65
09/27/2023,$240.50,136597200,$244.262,$245.33,$234.58
09/26/2023,$244.12,101993600,$242.98,$249.55,$241.6601
09/25/2023,$246.99,104636600,$243.38,$247.10,$238.31
09/22/2023,$244.88,127524100,$257.40,$257.7888,$244.48
09/21/2023,$255.70,119951500,$257.85,$260.86,$254.21
09/20/2023,$262.59,122514600,$267.04,$273.93,$262.4606
09/19/2023,$266.50,103704000,$264.35,$267.85,$261.20
09/18/2023,$265.28,101543300,$271.16,$271.44,$263.7601
09/15/2023,$274.39,133692300,$277.55,$278.98,$271.00
09/14/2023,$276.04,107709800,$271.32,$276.7094,$270.42
09/13/2023,$271.30,111673700,$270.07,$274.98,$268.10
09/12/2023,$267.48,135999900,$270.76,$278.39,$266.60
09/11/2023,$273.58,174667900,$264.27,$274.85,$260.61
09/08/2023,$248.50,118559600,$251.22,$256.52,$246.67
09/07/2023,$251.49,115312900,$245.07,$252.81,$243.265
09/06/2023,$251.92,116959800,$255.135,$255.39,$245.06
09/05/2023,$256.49,129469600,$245.00,$258.00,$244.86
09/01/2023,$245.01,132541600,$257.26,$259.0794,$242.01
08/31/2023,$258.08,108861700,$255.98,$261.18,$255.05
08/30/2023,$256.90,121988400,$254.20,$260.51,$250.59
08/29/2023,$257.18,134047600,$238.58,$257.48,$237.77
08/28/2023,$238.82,107673700,$242.58,$244.38,$235.35
08/25/2023,$238.59,106612200,$231.31,$239.00,$230.35
08/24/2023,$230.04,99777430,$238.66,$238.92,$228.1801
08/23/2023,$236.86,101077600,$229.34,$238.98,$229.29
08/22/2023,$233.19,130597900,$240.25,$240.82,$229.55
08/21/2023,$231.28,135702700,$221.5512,$232.1343,$220.58
08/18/2023,$215.49,136276600,$214.12,$217.58,$212.36
08/17/2023,$219.22,120718400,$226.06,$226.74,$218.83
08/16/2023,$225.60,112484500,$228.02,$233.97,$225.38
08/15/2023,$232.96,88197600,$238.73,$240.50,$232.61
08/14/2023,$239.76,98595330,$235.70,$240.66,$233.75
08/11/2023,$242.65,99038640,$241.77,$243.79,$238.02
08/10/2023,$245.34,109498600,$245.40,$251.80,$243.00
08/09/2023,$242.19,101596300,$250.87,$251.10,$241.90
08/08/2023,$249.70,96642180,$247.45,$250.92,$245.01
08/07/2023,$251.45,111097900,$251.45,$253.6511,$242.76
08/04/2023,$253.86,99539910,$260.97,$264.77,$253.11
08/03/2023,$259.32,97829550,$252.04,$260.49,$252.00
08/02/2023,$254.11,101752900,$255.57,$259.52,$250.49
08/01/2023,$261.07,83645720,$266.26,$266.47,$260.25
07/31/2023,$267.43,84582170,$267.48,$269.08,$263.78
07/28/2023,$266.44,111446000,$259.86,$267.25,$258.2312
07/27/2023,$255.71,103697300,$268.31,$269.13,$255.30
07/26/2023,$264.35,95856180,$263.25,$268.04,$261.75
07/25/2023,$265.28,112757300,$272.38,$272.90,$265.00
07/24/2023,$269.06,137005000,$255.85,$269.85,$254.12
07/21/2023,$260.02,161796100,$268.00,$268.00,$255.80
07/20/2023,$262.90,175158300,$279.56,$280.93,$261.20
07/19/2023,$291.26,142355400,$296.04,$299.29,$289.5201
07/18/2023,$293.34,112434700,$290.15,$295.26,$286.01
07/17/2023,$290.38,131569600,$286.625,$292.23,$283.57
07/14/2023,$281.38,120062400,$277.01,$285.30,$276.31
07/13/2023,$277.90,112681500,$274.59,$279.45,$270.60
07/12/2023,$271.99,95672140,$276.325,$276.52,$271.46
07/11/2023,$269.79,91972360,$268.65,$270.90,$266.37
07/10/2023,$269.61,119425400,$276.47,$277.52,$265.10
07/07/2023,$274.43,113879200,$278.43,$280.78,$273.77
07/06/2023,$276.54,120707400,$278.09,$279.97,$272.88
07/05/2023,$282.48,131530900,$278.82,$283.85,$277.60
07/03/2023,$279.82,118999000,$276.49,$284.25,$275.11
06/30/2023,$261.77,112620800,$260.60,$264.45,$259.89
06/29/2023,$257.50,131283400,$258.03,$260.74,$253.61
06/28/2023,$256.24,159770800,$249.70,$259.88,$248.89
06/27/2023,$250.21,164968200,$243.24,$250.3899,$240.85
06/26/2023,$241.05,179990600,$250.065,$258.37,$240.70
06/23/2023,$256.60,177460800,$259.29,$262.45,$252.80
06/22/2023,$264.61,166875900,$250.77,$265.00,$248.25
06/21/2023,$259.46,211797100,$275.13,$276.99,$257.78
06/20/2023,$274.45,165611200,$261.50,$274.75,$261.12
06/16/2023,$260.54,167915600,$258.92,$263.60,$257.2091
06/15/2023,$255.90,160171200,$248.40,$258.95,$247.29
06/14/2023,$256.79,170575500,$260.17,$261.57,$250.50
06/13/2023,$258.71,162384300,$253.51,$259.68,$251.34
06/12/2023,$249.83,150740500,$247.94,$250.97,$244.59
06/09/2023,$244.40,200242400,$249.07,$252.42,$242.02
06/08/2023,$234.86,164489700,$224.22,$235.23,$223.01
06/07/2023,$224.57,185710800,$228.00,$230.8296,$223.20
06/06/2023,$221.31,146911600,$216.14,$221.91,$212.53
06/05/2023,$217.61,151143100,$217.80,$221.29,$214.52
06/02/2023,$213.97,164398400,$210.15,$217.25,$209.752
06/01/2023,$207.52,148029900,$202.59,$209.80,$199.37
05/31/2023,$203.93,150711700,$199.78,$203.95,$195.12
05/30/2023,$201.16,128818700,$200.10,$204.48,$197.53
05/26/2023,$193.17,162061500,$184.62,$198.60,$184.53
05/25/2023,$184.47,96870720,$186.54,$186.78,$180.58
05/24/2023,$182.90,137605100,$182.23,$184.22,$178.22
05/23/2023,$185.77,156952100,$186.20,$192.96,$185.26
05/22/2023,$188.87,132001400,$180.70,$189.32,$180.11
05/19/2023,$180.14,136196700,$177.17,$181.95,$176.31
05/18/2023,$176.89,109520300,$174.22,$177.06,$172.45
05/17/2023,$173.86,125473600,$168.41,$174.50,$167.185
05/16/2023,$166.52,98288790,$165.65,$169.5184,$164.35
05/15/2023,$166.35,105592500,$167.655,$169.76,$164.5499
05/12/2023,$167.98,157849600,$176.07,$177.38,$167.23
05/11/2023,$172.08,103889900,$168.70,$173.57,$166.79
05/10/2023,$168.54,119840700,$172.55,$174.43,$166.68
05/09/2023,$169.15,88965040,$168.95,$169.82,$166.56
05/08/2023,$171.79,112249400,$173.72,$173.80,$169.19
05/05/2023,$170.06,107607300,$163.97,$170.7899,$163.51
05/04/2023,$161.20,95108490,$162.71,$162.95,$159.65
05/03/2023,$160.61,119728000,$160.01,$165.00,$159.91
05/02/2023,$160.31,128259700,$161.88,$165.49,$158.93
05/01/2023,$161.83,109015000,$163.17,$163.28,$158.83
04/28/2023,$164.31,122515800,$160.90,$165.00,$157.32
04/27/2023,$160.19,127015200,$152.64,$160.48,$152.37
04/26/2023,$153.75,153364100,$160.29,$160.67,$153.14
04/25/2023,$160.67,121999300,$159.82,$163.47,$158.75
04/24/2023,$162.55,140006600,$164.65,$165.65,$158.61
04/21/2023,$165.08,123539000,$164.80,$166.00,$161.3208
04/20/2023,$162.99,210970800,$166.165,$169.70,$160.56
04/19/2023,$180.59,125732700,$179.10,$183.50,$177.65
04/18/2023,$184.31,92067020,$187.15,$187.69,$183.5775
04/17/2023,$187.04,116662200,$186.32,$189.69,$182.69
04/14/2023,$185.00,96438660,$183.95,$186.28,$182.01
04/13/2023,$185.90,112933000,$182.955,$186.50,$180.94
04/12/2023,$180.54,150256300,$190.74,$191.5846,$180.31
04/11/2023,$186.79,115770900,$186.69,$189.19,$185.6475
04/10/2023,$184.51,142154600,$179.94,$185.10,$176.11
04/06/2023,$185.06,123857900,$183.08,$186.39,$179.74
04/05/2023,$185.52,133882500,$190.515,$190.68,$183.76
04/04/2023,$192.58,126463800,$197.32,$198.7446,$190.32
04/03/2023,$194.77,169545900,$199.91,$202.6897,$192.20
03/31/2023,$207.46,170222100,$197.53,$207.79,$197.20
03/30/2023,$195.28,110252200,$195.58,$197.33,$194.42
03/29/2023,$193.88,123660000,$193.13,$195.29,$189.44
03/28/2023,$189.19,98654640,$192.00,$192.35,$185.43
03/27/2023,$191.81,120851600,$194.415,$197.39,$189.94
03/24/2023,$190.41,116531600,$191.65,$192.36,$187.15
03/23/2023,$192.22,144193900,$195.26,$199.31,$188.65
03/22/2023,$191.15,150376400,$199.30,$200.66,$190.95
03/21/2023,$197.58,153391400,$188.28,$198.00,$188.04
03/20/2023,$183.25,129684400,$178.08,$186.44,$176.35
03/17/2023,$180.13,133197100,$184.515,$186.2199,$177.33
03/16/2023,$184.13,121374500,$180.365,$185.81,$178.84
03/15/2023,$180.45,145995600,$180.80,$182.34,$176.03
03/14/2023,$183.26,143717900,$177.31,$183.80,$177.1401
03/13/2023,$174.48,167790300,$167.455,$177.35,$163.91
03/10/2023,$173.44,191488900,$175.13,$178.29,$168.44
03/09/2023,$172.92,170023800,$180.25,$185.18,$172.5124
03/08/2023,$182.00,151897800,$185.04,$186.50,$180.00
03/07/2023,$187.71,148125800,$191.38,$194.20,$186.10
03/06/2023,$193.81,128100100,$198.54,$198.60,$192.30
03/03/2023,$197.79,154193300,$194.795,$200.48,$192.88
03/02/2023,$190.90,181979200,$186.74,$193.7499,$186.01
03/01/2023,$202.77,156852800,$206.21,$207.20,$198.52
02/28/2023,$205.71,153144900,$210.59,$211.23,$203.75
02/27/2023,$207.63,161028300,$202.03,$209.42,$201.26
02/24/2023,$196.88,142228100,$196.325,$197.6695,$192.80
02/23/2023,$202.07,146360000,$203.91,$205.14,$196.33
02/22/2023,$200.86,191828500,$197.93,$201.99,$191.78
02/21/2023,$197.37,180018600,$204.99,$209.71,$197.22
02/17/2023,$208.31,213738500,$199.985,$208.44,$197.50
02/16/2023,$202.04,229586500,$210.78,$217.65,$201.84
02/15/2023,$214.24,182108600,$211.755,$214.66,$206.11
02/14/2023,$209.25,216455700,$191.94,$209.82,$189.44
02/13/2023,$194.64,172475500,$194.415,$196.30,$187.61
02/10/2023,$196.89,204754100,$202.225,$206.20,$192.89
02/09/2023,$207.32,215431400,$207.775,$214.00,$204.77
02/08/2023,$201.29,180673600,$196.10,$203.00,$194.31
02/07/2023,$196.81,186010300,$196.43,$197.50,$189.55
02/06/2023,$194.76,186188100,$193.01,$198.17,$189.92
02/03/2023,$189.98,232662000,$183.95,$199.00,$183.69
02/02/2023,$188.27,217448300,$187.325,$196.7501,$182.61
02/01/2023,$181.41,213806300,$173.89,$183.805,$169.93
01/31/2023,$173.22,196813500,$164.57,$174.30,$162.78
01/30/2023,$166.66,230878800,$178.05,$179.77,$166.50
01/27/2023,$177.90,306590600,$162.43,$180.68,$161.17
01/26/2023,$160.27,234815100,$159.965,$161.42,$154.76
01/25/2023,$144.43,192734300,$141.905,$146.41,$138.07
01/24/2023,$143.89,158699100,$143.00,$146.50,$141.10
01/23/2023,$143.75,203119200,$135.87,$145.3793,$134.27
01/20/2023,$133.42,138858100,$128.68,$133.51,$127.3466
01/19/2023,$127.17,170291900,$127.26,$129.99,$124.3082
01/18/2023,$128.78,195680300,$136.555,$136.68,$127.01
01/17/2023,$131.49,186477000,$125.695,$131.70,$125.02
01/13/2023,$122.40,180714100,$116.55,$122.63,$115.60
01/12/2023,$123.56,169400900,$122.56,$124.1311,$117.00
01/11/2023,$123.22,183810800,$122.09,$125.95,$120.51
01/10/2023,$118.85,167642500,$121.07,$122.76,$114.92
01/09/2023,$119.77,190284000,$118.96,$123.52,$117.11
01/06/2023,$113.06,220911100,$103.00,$114.39,$101.81
01/05/2023,$110.34,157986300,$110.51,$111.75,$107.1601
01/04/2023,$113.64,180389000,$109.11,$114.59,$107.52
01/03/2023,$108.10,231402800,$118.47,$118.80,$104.64
12/30/2022,$123.18,157777300,$119.95,$124.48,$119.75
12/29/2022,$121.82,221923300,$120.385,$123.57,$117.495
12/28/2022,$112.71,221070500,$110.35,$116.27,$108.24
12/27/2022,$109.10,208643400,$117.495,$119.67,$108.76
12/23/2022,$123.15,166989700,$126.37,$128.6173,$121.02
12/22/2022,$125.35,210090300,$136.00,$136.63,$122.26
12/21/2022,$137.57,145417400,$139.335,$141.26,$135.89
12/20/2022,$137.80,159563300,$146.05,$148.47,$137.66
12/19/2022,$149.87,139390600,$154.00,$155.25,$145.82
12/16/2022,$150.23,139032200,$159.635,$160.99,$150.04
12/15/2022,$157.67,122334500,$153.44,$160.9299,$153.28
12/14/2022,$156.80,140682300,$159.25,$161.62,$155.31
12/13/2022,$160.95,175862700,$174.87,$175.05,$156.91
12/12/2022,$167.82,109794500,$176.10,$177.37,$167.52
12/09/2022,$179.05,104872300,$173.84,$182.50,$173.36
12/08/2022,$173.44,97624490,$172.20,$175.20,$169.06
12/07/2022,$174.04,84213280,$175.03,$179.38,$172.218
12/06/2022,$179.82,92150820,$181.215,$183.65,$175.33
12/05/2022,$182.45,93122670,$189.44,$191.27,$180.55
12/02/2022,$194.86,73645920,$191.78,$196.25,$191.11
12/01/2022,$194.70,80046210,$197.08,$198.92,$191.80
11/30/2022,$194.70,109186400,$182.43,$194.76,$180.6301
